Date,Open
8-2-2018,337.230011
8-3-2018,347.75
8-6-2018,342.869995
8-7-2018,353.230011
8-8-2018,352.209991
8-9-2018,347.959991
8-10-2018,346.910004
8-13-2018,339.890015
8-14-2018,342.089996
8-15-2018,334.029999
8-16-2018,329.899994
8-17-2018,319.01001
8-20-2018,314.640015
8-21-2018,331
8-22-2018,338.48999
8-23-2018,348.109985
8-24-2018,346
8-27-2018,367.149994
8-28-2018,367.230011
8-29-2018,367.200012
8-30-2018,365
8-31-2018,370.660004
9-4-2018,366.470001
9-5-2018,360
9-6-2018,347.440002
9-7-2018,342.200012
9-10-2018,352.269989
9-11-2018,344.670013
9-12-2018,359.079987
9-13-2018,371.910004
9-14-2018,368.549988
9-17-2018,364.220001
9-18-2018,353.670013
9-19-2018,373.950012
9-20-2018,370.26001
9-21-2018,366.589996
9-24-2018,359
9-25-2018,370.230011
9-26-2018,373.589996
9-27-2018,379.869995
9-28-2018,379.23999
10-1-2018,375.850006
10-2-2018,384.380005
10-3-2018,378.529999
10-4-2018,375.880005
10-5-2018,359.769989
10-8-2018,345.179993
10-9-2018,348.480011
10-10-2018,353.519989
10-11-2018,324.940002
10-12-2018,339.570007
10-15-2018,337.630005
10-16-2018,337.23999
10-17-2018,378.329987
10-18-2018,360.670013
10-19-2018,351
10-22-2018,333.100006
10-23-2018,318
10-24-2018,332.279999
10-25-2018,307.119995
10-26-2018,300.51001
10-29-2018,305.26001
10-30-2018,275.570007
10-31-2018,297.769989
11-1-2018,304.589996
11-2-2018,318
11-5-2018,311.100006
11-6-2018,314.76001
11-7-2018,312.899994
11-8-2018,328
11-9-2018,311.070007
11-12-2018,300
11-13-2018,295
11-14-2018,300.399994
11-15-2018,285.51001
11-16-2018,287.140015
11-19-2018,283.790009
11-20-2018,254.630005
11-21-2018,274.420013
11-23-2018,260.109985
11-26-2018,260.549988
11-27-2018,259.23999
11-28-2018,271.980011
11-29-2018,282.320007
11-30-2018,288
12-3-2018,293.190002
12-4-2018,288.130005
12-6-2018,268.329987
12-7-2018,282.480011
12-10-2018,264.190002
12-11-2018,274.079987
12-12-2018,267.660004
12-13-2018,277.640015
12-14-2018,271.809998
12-17-2018,266.51001
12-18-2018,263.299988
12-19-2018,269.959991
12-20-2018,264.640015
12-21-2018,263.829987
12-24-2018,242
12-26-2018,233.919998
12-27-2018,250.110001
12-28-2018,257.940002
12-31-2018,260.160004
1-2-2019,259.279999
1-3-2019,270.200012
1-4-2019,281.880005
1-7-2019,302.100006
1-8-2019,319.980011
1-9-2019,317.709991
1-10-2019,314.570007
1-11-2019,330.959991
1-14-2019,334.23999
1-15-2019,349.600006
1-16-2019,354
1-17-2019,349.5
1-18-2019,351.970001
1-22-2019,334.890015
1-23-2019,328.25
1-24-2019,320.600006
1-25-2019,328.720001
1-28-2019,334.700012
1-29-2019,335.869995
1-30-2019,332.75
1-31-2019,339.679993
2-1-2019,337.179993
2-4-2019,342.600006
2-5-2019,353.200012
2-6-2019,357
2-7-2019,347.899994
2-8-2019,338
2-11-2019,350
2-12-2019,348.089996
2-13-2019,357.299988
2-14-2019,351.75
2-15-2019,358.470001
2-19-2019,355.799988
2-20-2019,364.850006
2-21-2019,360.029999
2-22-2019,360.339996
2-25-2019,367.01001
2-26-2019,362.980011
2-27-2019,363.5
2-28-2019,362.470001
3-1-2019,362.26001
3-4-2019,359.720001
3-5-2019,351.459991
3-6-2019,353.600006
3-7-2019,360.160004
3-8-2019,345.75
3-11-2019,352
3-12-2019,359.369995
3-13-2019,355.809998
3-14-2019,360.5
3-15-2019,361.019989
3-18-2019,362.470001
3-19-2019,366.399994
3-20-2019,358.910004
3-21-2019,374
3-22-2019,375.950012
3-25-2019,359
3-26-2019,367.869995
3-27-2019,361
3-28-2019,354.48999
3-29-2019,357.160004
4-1-2019,359
4-2-2019,366.25
4-3-2019,369.26001
4-4-2019,370.070007
4-5-2019,369
4-8-2019,365.109985
4-9-2019,360.540009
4-10-2019,365.790009
4-11-2019,365
4-12-2019,360.690002
4-15-2019,350.709991
4-16-2019,355
4-17-2019,365.049988
4-18-2019,355
4-22-2019,359.700012
4-23-2019,375.450012
4-24-2019,381.070007
4-25-2019,374.48999
4-26-2019,368.350006
4-29-2019,373.679993
4-30-2019,369.559998
5-1-2019,374
5-2-2019,378
5-3-2019,381.529999
5-6-2019,377.690002
5-7-2019,377
5-8-2019,367.920013
5-9-2019,360.899994
5-10-2019,361.619995
5-13-2019,352.290009
5-14-2019,348.709991
5-15-2019,343.339996
5-16-2019,356.369995
5-17-2019,356.390015
5-20-2019,351.230011
5-21-2019,350.950012
5-22-2019,358.01001
5-23-2019,355.5
5-24-2019,355.410004
5-28-2019,354.390015
5-29-2019,353.600006
5-30-2019,350.549988
5-31-2019,347.220001
6-3-2019,343.559998
6-4-2019,345
6-5-2019,354.380005
6-6-2019,354.839996
6-7-2019,357.390015
6-10-2019,363.649994
6-11-2019,355
6-12-2019,351.820007
6-13-2019,347.230011
6-14-2019,341.630005
6-17-2019,342.690002
6-18-2019,355.570007
6-19-2019,361.720001
6-20-2019,365.910004
6-21-2019,365
6-24-2019,370.269989
6-25-2019,370.75
6-26-2019,361.600006
6-27-2019,363.200012
6-28-2019,370.26001
7-1-2019,373.5
7-2-2019,374.890015
7-3-2019,376.690002
7-5-2019,378.290009
7-8-2019,378.190002
7-9-2019,379.059998
7-10-2019,382.769989
7-11-2019,381.100006
7-12-2019,378.679993
7-15-2019,372.940002
7-16-2019,370.089996
7-17-2019,366.25
7-18-2019,323.76001
7-19-2019,323.399994
7-22-2019,312
7-23-2019,311.440002
7-24-2019,310.51001
7-25-2019,318.859985
7-26-2019,328.790009
7-29-2019,335.980011
7-30-2019,329.200012
7-31-2019,325.160004
8-1-2019,324.25
8-2-2019,317.48999
8-5-2019,310.959991
8-6-2019,310.579987
8-7-2019,302.559998
8-8-2019,311.029999
8-9-2019,313.73999
8-12-2019,305.459991
8-13-2019,309.769989
8-14-2019,308.01001
8-15-2019,299.5
8-16-2019,298.859985
8-19-2019,306.25
8-20-2019,304.570007
8-21-2019,301.609985
8-22-2019,298.649994
8-23-2019,295
8-26-2019,295.23999
8-27-2019,294.540009
8-28-2019,289.470001
8-29-2019,295
8-30-2019,298.779999
9-3-2019,290.820007
9-4-2019,291.25
